inflow_vol,month,starting_stage
949,June,3850.19
885,May,3817.11
828,June,3830.16
883,July,3849.18
895,August,3803.54
815,June,3813.44
885,June,3826.74
868,July,3836.65
852,June,3813.97
799,June,3807.44
850,August,3806.24
773,June,3805.33
809,May,3823.60
953,July,3809.15
810,June,3812.96
938,May,3813.46
877,June,3836.34
952,July,3797.82
844,June,3843.42
979,August,3845.51
859,June,3815.63
875,July,3803.55
840,May,3842.65
868,July,3815.73
833,June,3823.53
873,September,3835.27
984,June,3832.44
899,June,3820.00
881,May,3813.51
895,July,3836.64
963,July,3846.47
934,June,3813.18
936,August,3808.02
858,August,3800.51
854,August,3807.35
929,August,3839.06
944,May,3846.59
894,May,3806.00
918,August,3817.16
835,August,3841.46
910,July,3820.07
915,June,3808.86
971,June,3838.20
932,May,3832.85
859,June,3808.89
944,August,3845.79
941,June,3838.81
954,September,3802.49
933,June,3835.73
1015,June,3811.50
912,July,3805.57
1004,May,3821.50
930,August,3854.20
873,May,3850.61
905,June,3812.53
965,June,3817.38
966,August,3815.62
963,August,3797.02
945,May,3818.25
1062,June,3813.45
1023,August,3851.62
947,August,3809.57
974,July,3825.05
979,August,3798.70
947,May,3845.37
904,May,3815.88
928,August,3851.91
974,July,3852.11
881,June,3796.41
973,June,3851.88
925,June,3827.26
903,June,3844.52
956,May,3817.12
983,July,3800.73
946,June,3819.94
1024,September,3823.54
934,May,3808.52
1058,May,3839.50
962,May,3818.40
911,June,3840.65
995,July,3801.41
1142,June,3810.97
1008,May,3809.01
928,July,3816.09
976,May,3815.68
991,August,3828.85
983,June,3835.48
955,May,3860.15
957,May,3808.54
997,July,3794.51
977,June,3808.32
967,June,3828.56
1010,July,3831.71
1070,July,3818.01
828,June,3813.88
1029,May,3824.84
1009,May,3805.30
972,June,3804.06
1026,May,3797.21
948,July,3808.95
988,June,3816.91
1033,May,3814.24
1010,July,3818.93
1020,June,3841.70
991,May,3833.01
996,August,3835.28
990,July,3821.32
1024,May,3846.20
1069,June,3795.32
1014,September,3847.17
1080,June,3836.39
1066,May,3852.72
1079,May,3853.76
1038,May,3808.94
1096,June,3812.18
1019,September,3816.83
1067,May,3808.44
993,September,3796.94
999,June,3835.47
1015,May,3808.93
1139,June,3803.92
1066,June,3858.44
1043,June,3845.52
1064,June,3815.77
1068,September,3850.00
1135,June,3840.91
1015,May,3853.20
1035,August,3812.04
1152,May,3811.61
1040,June,3804.78
1092,July,3809.76
992,August,3806.40
1037,June,3853.47
1071,July,3854.45
1057,September,3805.71
1006,July,3811.71
1083,May,3833.02
980,June,3840.32
1036,May,3844.30
1079,June,3803.52
1103,May,3817.89
1079,August,3846.60
1032,August,3803.33
1123,August,3816.16
1041,June,3818.41
1066,August,3800.96
1065,July,3840.95
1011,May,3813.77
1112,July,3796.02
1150,June,3828.12
1072,August,3840.30
1130,June,3846.56
1110,August,3826.05
1061,May,3849.27
1152,August,3796.39
1125,August,3804.56
1044,May,3835.80
1095,August,3813.82
1074,July,3794.70
1124,July,3846.90
1168,June,3834.36
1088,May,3848.12
1173,July,3853.06
1097,May,3832.43
1205,May,3848.09
1134,May,3812.65
1101,June,3843.75
1104,June,3836.28
1096,September,3795.47
1082,July,3799.99
1158,July,3831.98
1110,August,3807.06
1142,August,3805.02
1232,August,3841.08
1099,September,3802.47
1128,August,3808.86
1117,July,3798.45
1177,June,3816.32
1104,May,3810.04
1157,July,3801.02
1256,June,3842.68
1164,June,3834.74
1128,July,3849.93
1181,June,3840.92
1150,May,3848.00
1094,July,3841.54
1223,June,3809.89
1149,July,3841.64
1178,June,3854.44
1111,June,3806.89
